scoreNullable,teamId,hasTeamName,submissionDate,score,hasScore
3.38833,7103726,True,2021-07-22 20:49:47,3.38833,True
3.53722,7113770,True,2021-07-22 18:58:39,3.53722,True
3.53722,7127339,True,2021-07-22 10:00:35,3.53722,True
3.74984,7118722,True,2021-07-22 16:42:05,3.74984,True
4.35582,7118834,True,2021-07-22 16:29:20,4.35582,True
4.36475,7113046,True,2021-07-21 14:49:00,4.36475,True
4.48441,7123599,True,2021-07-22 16:03:19,4.48441,True
5.46158,7111041,True,2021-07-21 23:46:15,5.46158,True
5.90394,7130404,True,2021-07-22 18:18:17,5.90394,True
6.08366,7113610,True,2021-07-22 19:48:24,6.08366,True
6.57713,7105336,True,2021-07-22 11:12:42,6.57713,True
8.85881,7056761,True,2021-07-07 09:29:46,8.85881,True
42.44188,7044420,True,2021-07-02 11:27:53,42.44188,True
